stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,zone_id
120,"3669","Creston & Shannon Hill",35.628968,-120.677203,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=120",5
121,"3670","Creston & Capitol Hill",35.628993,-120.680872,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=121",5
122,"3671","Riverside & 17th",35.632628,-120.687302,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=122",5
123,"3672","Riverside & 20th",35.634997,-120.687474,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=123",5
124,"3615","Riverside & 26th",35.641018,-120.688303,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=124",5
125,"3616","Ysabel & 24th",35.641982,-120.687416,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=125",5
126,"3617","Riverside & 24th",35.638242,-120.687957,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=126",5
127,"3618","Riverside & 18th",35.632939,-120.687489,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=127",5
128,"3585","Riverside & 14th",35.629241,-120.687183,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=128",5
129,"3602","Spring & 14th",35.628497,-120.691462,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=129",5
130,"3603","Spring & 17th",35.631755,-120.691734,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=130",5
131,"3604","Spring & 21st",35.636469,-120.692146,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=131",5
132,"3614","24th & Park",35.639134,-120.691559,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=132",5
133,"3605","Spring & 24th",35.639629,-120.692389,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=133",5
134,"3606","Spring & 28th",35.642943,-120.692663,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=134",5
135,"3607","Spring & 30th",35.645139,-120.692857,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=135",5
136,"3608","Oak & 34th",35.649409,-120.694492,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=136",5
137,"3609","Spring & 34th",35.649171,-120.693385,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=137",5
138,"3610","Spring & 32nd",35.647621,-120.693256,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=138",5
139,"3676","Spring & 30th",35.645120,-120.693018,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=139",5
140,"3674","Spring & 28th",35.643504,-120.692916,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=140",5
141,"3677","Spring & 23rd",35.638449,-120.692494,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=141",5
142,"3678","Spring & 22nd",35.636803,-120.692359,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=142",5
143,"3679","Spring & 18th",35.632508,-120.691980,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=143",5
144,"3680","Spring & 16th",35.630456,-120.691830,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=144",5
145,"3570","El Camino Real & Patria",35.458697,-120.642612,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=145",9
147,"3573","El Camino Real & Santa Clara",35.439682,-120.627785,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=147",9
148,"3574","El Camino Real & Carmel",35.432733,-120.614150,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=148",9
149,"3575","El Camino Real & Santa Margarita",35.429149,-120.606418,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=149",9
150,"3576","Garden Farms",35.417958,-120.604468,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=150",9
151,"3577","El Camino Real & Encina",35.392107,-120.607123,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=151",9
152,"3503","El Camino Real & Encina",35.392005,-120.606846,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=152",9
153,"3502","El Camino Real & Maria",35.388531,-120.613306,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=153",9
154,"3504","El Camino Real & Pine",35.418336,-120.604269,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=154",9
155,"3505","El Camino Real & Santa Margarita",35.429271,-120.606280,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=155",9
156,"3506","El Camino Real & Carmel",35.433076,-120.614535,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=156",9
157,"3507","El Camino Real & Santa Clara",35.440301,-120.628343,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=157",9
158,"3572","Viejo Camino & Santa Barbara",35.449564,-120.632556,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=158",9
159,"3549","Viejo Camino & Santa Barbara",35.449942,-120.632709,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=159",9
160,"3509","Viejo Camino & Bocina",35.454516,-120.637844,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=160",9
161,"3571","Viejo Camino & Bocina",35.454349,-120.637749,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=161",9
162,"3510","El Camino Real & Buena Fortuna",35.457477,-120.641288,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=162",9
163,"3511","El Camino Real & Musselman",35.461543,-120.644680,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=163",9
164,"3512","El Camino Real & El Bordo",35.464943,-120.647552,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=164",9
165,"3513","El Camino Real & Principal",35.467484,-120.650035,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=165",9
166,"3514","El Camino Real & Solano",35.471963,-120.653287,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=166",9
167,"3515","El Camino Real & Palomar",35.475369,-120.654752,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=167",9
168,"3516","El Camino Real & Pueblo",35.480361,-120.657986,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=168",9
170,"3517","El Camino Real & Highway 41",35.484990,-120.663082,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=170",9
172,"3518","Atascadero Transit Center",35.489141,-120.664832,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=172",9
173,"3519","El Camino Real & Traffic Way",35.489646,-120.670740,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=173",9
174,"3520","El Camino Real & Rosario",35.490791,-120.673052,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=174",9
175,"3521","El Camino Real & San Jacinto",35.495531,-120.679610,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=175",9
176,"3522","El Camino Real & San Anselmo",35.499841,-120.683523,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=176",9
177,"3523","El Camino Real & Maya",35.502226,-120.687059,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=177",9
178,"3524","El Camino Real & San Benito",35.507521,-120.693052,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=178",9
179,"3525","El Camino Real & Del Rio",35.513333,-120.697368,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=179",9
180,"3529","Templeton Park & Ride",35.554189,-120.713889,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=180",11
181,"3530","Theatre @ Gahan",35.587203,-120.697154,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=181",5
182,"3552","Theatre @ Alexa",35.587080,-120.696855,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=182",5
183,"3553","Target Shopping Center",35.583915,-120.696831,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=183",5
184,"3554","Theatre & Via Santa Barbara",35.576105,-120.697883,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=184",5
185,"3729","Morro Bay Park",35.366461,-120.844514,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=185",3
188,"3757","Ocean & Old Creek",35.428903,-120.881363,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=188",3
189,"3758","Ocean & 8th",35.444286,-120.895027,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=189",3
190,"3759","Ocean & 3rd",35.445915,-120.898234,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=190",3
191,"3737","South Bay & Quintana",35.361647,-120.824679,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=191",3
192,"3728","South Bay & Quintana",35.362039,-120.824239,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=192",3
193,"3720","Santa Ysabel & 15th",35.329916,-120.826691,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=193",3
194,"3727","Santa Ysabel & 15th",35.330011,-120.827072,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=194",3
195,"3721","11th & El Morro",35.326458,-120.831094,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=195",3
196,"3722","11th & Ramona",35.320599,-120.831109,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=196",3
197,"3723","10th & Santa Ynez",35.314842,-120.832274,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=197",3
198,"3724","10th & Los Osos Valley",35.311835,-120.832293,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=198",3
199,"3730","Los Osos Valley Rd & Palisades",35.311908,-120.836071,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=199",3
200,"3731","Los Osos Valley Rd & Pine",35.313082,-120.844782,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=200",3
201,"3732","Pine & Loma",35.318176,-120.844808,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=201",3
202,"3733","Ramona & 7th",35.320631,-120.835852,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=202",3
203,"3725","7th & El Morro",35.326045,-120.835378,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=203",3
204,"3734","2nd & Santa Maria",35.328325,-120.840876,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=204",3
205,"3726","Santa Ysabel & 7th",35.329959,-120.834993,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=205",3
206,"3583","Cal Poly Library",35.302311,-120.663581,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=206",7
207,"3537","Cal Poly Library",35.302317,-120.663206,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=207",7
208,"3538","Cal Poly Performing Arts Center",35.300265,-120.657669,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=208",7
209,"3582","Cal Poly Performing Arts Center",35.300397,-120.657523,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=209",7
210,"3541","Santa Rosa & Murray",35.291563,-120.667006,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=210",7
214,"3613","Spring & 26th",35.641124,-120.692695,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=214",5
215,"3681","Spring & 13th",35.627095,-120.691539,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=215",5
216,"3601","Spring & 11th",35.625284,-120.691171,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=216",5
217,"3682","Spring & 10th",35.624825,-120.691335,"http://slo.connexionz.net/RTT/Public/Transit.aspx?page=text&plt=217",5
